trial,onset_reference_s,on_marker_s,miss_marker_s
1,185464.7198181877,185464.7198181877,185465.72086010216
2,185465.72646000228,185465.72646000228,185466.72850721673
3,185466.73324431683,185466.73324431683,185467.73528413128
4,185467.74021533137,185467.74021533137,185468.74225554583
5,185468.7467436459,185468.7467436459,185469.74778256036
6,185469.75323886043,185469.75323886043,185470.7552744749
7,185470.761139575,185470.761139575,185471.76217778947
8,185471.76691058953,185471.76691058953,185472.768948704
9,185472.77378720412,185472.77378720412,185473.7758257186
10,185473.78127761866,185473.78127761866,185474.78331793312
11,185474.78851323322,185474.78851323322,185475.79054944767
12,185475.79542044777,185475.79542044777,185476.79647836223
13,185476.80154796227,185476.80154796227,185477.80259797676
14,185477.80768367683,185477.80768367683,185478.80973029128
15,185478.8146603914,185478.8146603914,185479.81670430585
16,185479.82228610595,185479.82228610595,185480.82432852045
17,185480.8288044205,185480.8288044205,185481.82985713496
18,185481.83652333502,185481.83652333502,185482.8375654495
19,185482.8416513496,185482.8416513496,185483.84370506404
20,185483.84959246416,185483.84959246416,185484.8506376786
21,185484.8566037787,185484.8566037787,185485.85764579315
22,185485.86415109324,185485.86415109324,185486.86518730773
23,185486.87077110782,185486.87077110782,185487.87182152228
24,185487.8765810223,185487.8765810223,185488.87862393682
25,185488.88393743688,185488.88393743688,185489.88598225135
26,185489.89094435144,185489.89094435144,185490.8919943659
27,185490.898310066,185490.898310066,185491.89935778044
28,185491.90472448053,185491.90472448053,185492.905764395
29,185492.9109901951,185492.9109901951,185493.91304520957
30,185493.91885010962,185493.91885010962,185494.9198920241
31,185494.9251079242,185494.9251079242,185495.92714973865
32,185495.93228583873,185495.93228583873,185496.9343309532
33,185496.93907975327,185496.93907975327,185497.94013236777
34,185497.9457128678,185497.9457128678,185498.94675768228
35,185498.95225208238,185498.95225208238,185499.95430459687
36,185499.95997069695,185499.95997069695,185500.96103191143
37,185500.96700911148,185500.96700911148,185501.96905122595
38,185501.97396032602,185501.97396032602,185502.97600964052
39,185502.9812135406,185502.9812135406,185503.98226015505
40,185503.98812655514,185503.98812655514,185504.98917716963
41,185504.9951908697,185504.9951908697,185505.99623708418
42,185506.00206928424,185506.00206928424,185507.00310949868
43,185507.0086088988,185507.0086088988,185508.00964801325
44,185508.01627721332,185508.01627721332,185509.0173192278
45,185509.0226205279,185509.0226205279,185510.02366694235
46,185510.02877344243,185510.02877344243,185511.0298138569
47,185511.035949157,185511.035949157,185512.03701467146
48,185512.04245437152,185512.04245437152,185513.044502586
49,185513.04943478605,185513.04943478605,185514.05149510055
50,185514.05669090064,185514.05669090064,185515.05873301512
51,185515.06362681516,185515.06362681516,185516.06466322963
52,185516.0699511297,185516.0699511297,185517.07199124421
53,185517.07667114426,185517.07667114426,185518.07872175873
54,185518.08400735882,185518.08400735882,185519.0860516733
55,185519.09079277338,185519.09079277338,185520.09285548783
56,185520.09842568793,185520.09842568793,185521.09946590237
57,185521.10717500251,185521.10717500251,185522.109220217
58,185522.11479041705,185522.11479041705,185523.11583413152
59,185523.12055313162,185523.12055313162,185524.12259674608
60,185524.12835804617,185524.12835804617,185525.13040716064
61,185525.1345427607,185525.1345427607,185526.13658457517
62,185526.14178227528,185526.14178227528,185527.14383028974
63,185527.1490477898,185527.1490477898,185528.1501032043
64,185528.15532770433,185528.15532770433,185529.15738271884
65,185529.1620942189,185529.1620942189,185530.1641397334
66,185530.16941823345,185530.16941823345,185531.17047004792
67,185531.175715248,185531.175715248,185532.17677376248
68,185532.18227896254,185532.18227896254,185533.18432947702
69,185533.1893617771,185533.1893617771,185534.19140529158
70,185534.19601959165,185534.19601959165,185535.1970695061
71,185535.20284080622,185535.20284080622,185536.20487752068
72,185536.21032092074,185536.21032092074,185537.21137043522
73,185537.2169221353,185537.2169221353,185538.21797274976
74,185538.22282984984,185538.22282984984,185539.2238864643
75,185539.23012086438,185539.23012086438,185540.23116457887
76,185540.23664097895,185540.23664097895,185541.2376871934
77,185541.24280809346,185541.24280809346,185542.24485100797
78,185542.24959770803,185542.24959770803,185543.25163742248
79,185543.2573870226,185543.2573870226,185544.25942583705
80,185544.2639818371,185544.2639818371,185545.26603225162
81,185545.27071185166,185545.27071185166,185546.27275746615
82,185546.2775947662,185546.2775947662,185547.27965788072
83,185547.2854985808,185547.2854985808,185548.28654999525
84,185548.29207469532,185548.29207469532,185549.2931280098
85,185549.29894580986,185549.29894580986,185550.29998942435
86,185550.30499512443,185550.30499512443,185551.3070433389
87,185551.31170423896,185551.31170423896,185552.31375245345
88,185552.31872765353,185552.31872765353,185553.320779268
89,185553.3259214681,185553.3259214681,185554.32797658254
90,185554.33320778262,185554.33320778262,185555.3342566971
91,185555.3402080972,185555.3402080972,185556.34225151164
92,185556.34727301175,185556.34727301175,185557.3483266262
93,185557.35321872626,185557.35321872626,185558.35527074075
94,185558.35957944082,185558.35957944082,185559.36163075527
95,185559.36724015535,185559.36724015535,185560.36928886987
96,185560.37382876992,185560.37382876992,185561.3758708844
97,185561.3811884845,185561.3811884845,185562.38223749894
98,185562.388364599,185562.388364599,185563.3894085135
99,185563.39445821356,185563.39445821356,185564.39650492804
100,185564.4008404281,185564.4008404281,185565.4028851426
101,185565.40765704264,185565.40765704264,185566.40970755715
102,185566.41539695722,185566.41539695722,185567.41643587165
103,185567.42198257174,185567.42198257174,185568.42302408622
104,185568.4281296863,185568.4281296863,185569.43017890077
105,185569.43529110085,185569.43529110085,185570.4373354153
106,185570.4419788154,185570.4419788154,185571.44403362987
107,185571.44951602994,185571.44951602994,185572.45057074443
108,185572.45623484452,185572.45623484452,185573.457292259
109,185573.46306525904,185573.46306525904,185574.46411507353
110,185574.46871247358,185574.46871247358,185575.47076648806
111,185575.47600228814,185575.47600228814,185576.47805180264
112,185576.48281630268,185576.48281630268,185577.48390631715
113,185577.48990661724,185577.48990661724,185578.4909588317
114,185578.49571503175,185578.49571503175,185579.49678324623
115,185579.5027262463,185579.5027262463,185580.50378106078
116,185580.5102843609,185580.5102843609,185581.51133607535
117,185581.51703507543,185581.51703507543,185582.5181111899
118,185582.52276228997,185582.52276228997,185583.52480410444
119,185583.52992930452,185583.52992930452,185584.53098671898
120,185584.53749301907,185584.53749301907,185585.53952893356
121,185585.5441555336,185585.5441555336,185586.5452037481
122,185586.55152904819,185586.55152904819,185587.55257846264
123,185587.55849466272,185587.55849466272,185588.5595313772
124,185588.5647427773,185588.5647427773,185589.56579479174
125,185589.5709447918,185589.5709447918,185590.57299320633
126,185590.57775450635,185590.57775450635,185591.5788084208
127,185591.5849366209,185591.5849366209,185592.58598553538
128,185592.59178363546,185592.59178363546,185593.59282264992
129,185593.59851885,185593.59851885,185594.60056136447
130,185594.60488076453,185594.60488076453,185595.60692647906
131,185595.61211387912,185595.61211387912,185596.61416729356
132,185596.61910589365,185596.61910589365,185597.62115000814
133,185597.62645840822,185597.62645840822,185598.62850932268
134,185598.63261872274,185598.63261872274,185599.63366513723
135,185599.6392307373,185599.6392307373,185600.6412724518
136,185600.6475399519,185600.6475399519,185601.64857696634
137,185601.6532343664,185601.6532343664,185602.65527618086
138,185602.66000758094,185602.66000758094,185603.66205379541
139,185603.6667421955,185603.6667421955,185604.66778880998
140,185604.67327921002,185604.67327921002,185605.6753196245
141,185605.6795643246,185605.6795643246,185606.68161363908
142,185606.68690153913,185606.68690153913,185607.68894255362
143,185607.6943258537,185607.6943258537,185608.69638396817
144,185608.7009414682,185608.7009414682,185609.7019987827
145,185609.70788918278,185609.70788918278,185610.70893549724
146,185610.71526559733,185610.71526559733,185611.7163180118
147,185611.72081041185,185611.72081041185,185612.72285912634
148,185612.7276515264,185612.7276515264,185613.7296997409
149,185613.735233641,185613.735233641,185614.73728215546
150,185614.74254495554,185614.74254495554,185615.74459497002
151,185615.74865647007,185615.74865647007,185616.75069878457
152,185616.75598068463,185616.75598068463,185617.75703489908
153,185617.7634169992,185617.7634169992,185618.76447271366
154,185618.76892081375,185618.76892081375,185619.7709633282
155,185619.7763549283,185619.7763549283,185620.77842224276
156,185620.78319874284,185620.78319874284,185621.7852537573
157,185621.7904691574,185621.7904691574,185622.7925149719
158,185622.7967486719,185622.7967486719,185623.7988081864
159,185623.80401698648,185623.80401698648,185624.80506850095
160,185624.810832901,185624.810832901,185625.8128774155
161,185625.8181770156,185625.8181770156,185626.81922353004
162,185626.82522293014,185626.82522293014,185627.8262646446
163,185627.83375144473,185627.83375144473,185628.8357964592
164,185628.84083775926,185628.84083775926,185629.84188177375
165,185629.8477381738,185629.8477381738,185630.84879818824
166,185630.85487938835,185630.85487938835,185631.85593130282
167,185631.8607705029,185631.8607705029,185632.8628164174
168,185632.86799641745,185632.86799641745,185633.87005193194
169,185633.875291632,185633.875291632,185634.8773491465
170,185634.88166414655,185634.88166414655,185635.88371026103
171,185635.8891431611,185635.8891431611,185636.8911847756
172,185636.89563097566,185636.89563097566,185637.89769549013
173,185637.90335669022,185637.90335669022,185638.9054207047
174,185638.91003970476,185638.91003970476,185639.91208101923
175,185639.91689351932,185639.91689351932,185640.9179388338
176,185640.9229135338,185640.9229135338,185641.92496934833
177,185641.93049624842,185641.93049624842,185642.93254516288
178,185642.93733036294,185642.93733036294,185643.9383795774
179,185643.94443417748,185643.94443417748,185644.94547269196
180,185644.95153889203,185644.95153889203,185645.9526115065
181,185645.9568228066,185645.9568228066,185646.95889872106
182,185646.9636869211,185646.9636869211,185647.96474193558
183,185647.97074923568,185647.97074923568,185648.97279115018
184,185648.97761675023,185648.97761675023,185649.9796640647
