thisN,thisTrialN,thisRepN,freq,tone,stim,correct,choice_resp.keys,choice_resp.corr,choice_resp.rt,choice_resp.duration,eyes.thisRepN,eyes.thisTrialN,eyes.thisN,eyes.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,choice.thisRepN,choice.thisTrialN,choice.thisN,choice.thisIndex,thisRow.t,notes,piloting,text_blank.started,audio_target_lsl,audio_actual_lsl,audio_schedule_error_ms,isi,soa,choice.choice_resp.keys,choice.choice_resp.corr,Break.started,Break.stopped,choice.choice_resp.rt,choice.choice_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
0,0,0,1500,High,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,71.60760689998278,,,71.60760689998278,197346.14045454998,197346.16698715,26.53260002261959,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
1,1,0,1000,Low,,,,,,,,,,,0,1,1,1,,,,,,,,,72.59230570000364,,,72.59230570000364,197347.13049845,197347.15699385002,26.49540003039874,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
2,0,1,1500,High,,,,,,,,,,,1,0,2,0,,,,,,,,,73.59303139999975,,,73.59303139999975,197348.12945464998,197348.1570354833,27.580833324464038,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
3,1,1,1000,Low,,,,,,,,,,,1,1,3,1,,,,,,,,,74.59376739998697,,,74.59376739998697,197349.13041314998,197349.15702131667,26.608166692312807,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
4,0,2,1500,High,,,,,,,,,,,2,0,4,0,,,,,,,,,75.59459439999773,,,75.59459439999773,197350.13089124998,197350.15704755,26.15630000946112,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
5,1,2,1000,Low,,,,,,,,,,,2,1,5,1,,,,,,,,,76.59540180000477,,,76.59540180000477,197351.13280725,197351.15707098335,24.263733357656747,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
6,0,3,1500,High,,,,,,,,,,,3,0,6,0,,,,,,,,,77.59630119998474,,,77.59630119998474,197352.13302685,197352.15709681666,24.069966661045328,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
7,1,3,1000,Low,,,,,,,,,,,3,1,7,1,,,,,,,,,78.59724339999957,,,78.59724339999957,197353.13401814998,197353.15712945,23.111300019081682,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
8,0,4,1500,High,,,,,,,,,,,4,0,8,0,,,,,,,,,79.59815189999063,,,79.59815189999063,197354.13517675,197354.15714188333,21.96513334638439,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
9,1,4,1000,Low,,,,,,,,,,,4,1,9,1,,,,,,,,,80.59906429998227,,,80.59906429998227,197355.13606005,197355.15719871668,21.138666692422703,,,,,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
0,0,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,0,0,4,91.97479740000563,,,,197366.92187765078,197366.92186898334,-0.008667440852150321,1.5338547598847123,0.41848070078169686,None,1,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
1,1,0,1500,,high,space,None,0,,,,,,,,,,,0,0,0,0,0,1,1,0,93.5099963999819,,,,197368.40929104554,197368.40928191665,-0.009128882084041834,1.7336819815552362,0.3651781955538964,None,0,,,,,pilot,001,2026-09-16_15h50.52.183,p3,,2026.2.3,59.85146064963102,2026-09-16 15h50.52.603461 +0800,
