time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block,responding
75.0564,GnG-low,nogo,9612,-1.2306058766284877,False,True,,0,False
76.5438,GnG-high,go,9803,2.790259124054728,False,True,,0,False
78.3827,GnG-low,nogo,10038,-1.1154828952157914,False,True,,0,False
79.8652,GnG-low,nogo,10228,-0.0031041270602827353,False,True,,0,False
81.6077,GnG-low,nogo,10451,-1.2106805874907423,False,True,,0,False
83.1812,GnG-low,nogo,10653,2.603532650923057,False,True,,0,False
84.6892,GnG-high,go,10846,1.6413700293753664,False,True,,0,False
86.4151,GnG-low,nogo,11067,1.4168211620813054,False,True,,0,False
88.2801,GnG-low,nogo,11306,2.6450239274140586,False,True,,0,False
89.8394,GnG-low,nogo,11505,-2.7662214444461597,False,True,,0,False
91.7579,GnG-high,go,11751,-0.3786152259976916,False,True,,0,False
92.956,GnG-low,nogo,11904,-3.7802259847552477,False,True,,0,False
94.7935,GnG-low,nogo,12140,1.522518199408296,False,True,,0,False
96.6903,GnG-low,nogo,12383,2.184665807575925,False,True,,0,False
98.3319,GnG-high,go,12593,0.3667686734303288,False,True,,0,False
99.857,GnG-low,nogo,12788,-2.078421541256148,False,True,,0,False
101.6137,GnG-low,nogo,13013,-1.8690255948285994,False,True,,0,False
103.5079,GnG-low,nogo,13256,1.3931220133258648,False,True,,0,False
105.2568,GnG-low,nogo,13480,1.5940317272225002,False,True,,0,False
107.0614,GnG-low,nogo,13711,0.7543448942186615,False,True,,0,False
108.6413,GnG-low,nogo,13913,-1.8314418673526234,False,True,,0,False
110.1774,GnG-low,nogo,14110,0.34034032481145005,False,True,,0,False
111.8085,GnG-low,nogo,14319,1.2139569872573475,False,True,,0,False
113.3678,GnG-low,nogo,14519,3.611197818813139,False,True,,0,False
115.2024,GnG-high,go,14753,-3.8030304038869645,False,True,,0,False
116.8686,GnG-low,nogo,14967,1.0130172756959155,False,True,,0,False
118.4423,GnG-low,nogo,15168,-3.181255689312934,False,True,,0,False
120.094,GnG-low,nogo,15380,0.5178195834218968,False,True,,0,False
121.8406,GnG-high,go,15604,3.018729297309619,False,True,,0,False
123.5132,GnG-low,nogo,15818,1.4347770059970344,False,True,,0,False
125.0291,GnG-low,nogo,16012,0.38110058787310663,False,True,,0,False
126.6112,GnG-low,nogo,16215,3.403800029730064,False,True,,0,False
128.5382,GnG-high,go,16461,-2.7085937518052106,False,True,,0,False
129.937,GnG-low,nogo,16640,-3.789563221403114,False,True,,0,False
131.7172,GnG-low,nogo,16868,-3.654708664669215,False,True,,0,False
133.1006,GnG-low,nogo,17046,2.855835662330719,False,True,,0,False
134.7753,GnG-high,go,17260,-0.8281166580843546,False,True,,0,False
136.2779,GnG-low,nogo,17453,3.6097207494663053,False,True,,0,False
138.0231,GnG-low,nogo,17676,-0.29785571098273067,False,True,,0,False
139.6993,GnG-low,nogo,17891,2.3266781720394647,False,True,,0,False
141.4278,GnG-low,nogo,18112,-0.49787072435947266,False,True,,0,False
143.1611,GnG-low,nogo,18334,-0.31393341734542446,False,True,,0,False
144.7052,GnG-high,go,18532,1.6663350073713445,False,True,,0,False
146.3221,GnG-low,nogo,18739,1.1229792629308122,False,True,,0,False
147.8069,GnG-low,nogo,18929,-0.06464193981514654,False,True,,0,False
149.5347,GnG-low,nogo,19150,-2.1891908361908463,False,True,,0,False
151.0844,GnG-high,go,19349,1.9995637919407727,False,True,,0,False
153.0036,GnG-low,nogo,19595,3.687170010380214,False,True,,0,False
154.6231,GnG-low,nogo,19802,0.5438142659670575,False,True,,0,False
156.0916,GnG-low,nogo,19990,0.03922065636174921,False,True,,0,False
157.8879,GnG-low,nogo,20220,-0.3089524091706153,False,True,,0,False
159.3832,GnG-low,nogo,20412,3.6203987949647853,False,True,,0,False
161.0731,GnG-high,go,20628,0.353418881388734,False,True,,0,False
162.6697,GnG-low,nogo,20832,-3.315395473322269,False,True,,0,False
164.1875,GnG-high,go,21027,1.539414341095835,False,True,,0,False
166.0436,GnG-low,nogo,21265,3.8591309030096,False,True,,0,False
167.4158,GnG-low,nogo,21440,-1.8557833511749777,False,True,,0,False
169.1101,GnG-low,nogo,21657,-1.7142770612963432,False,True,,0,False
170.8771,GnG-low,nogo,21884,3.81209126285853,False,True,,0,False
172.5378,GnG-low,nogo,22096,-1.48883346440698,False,True,,0,False
174.1815,GnG-high,go,22307,2.401755633997027,False,True,,0,False
175.6349,GnG-low,nogo,22493,1.3801895884455462,False,True,,0,False
177.4288,GnG-low,nogo,22723,3.4320165520114188,False,True,,0,False
178.9998,GnG-low,nogo,22924,1.9377435579031044,False,True,,0,False
180.7264,GnG-low,nogo,23145,1.0131946905858058,False,True,,0,False
182.2784,GnG-low,nogo,23344,2.901949318726338,False,True,,0,False
184.1976,GnG-low,nogo,23589,-3.2189306662360195,False,True,,0,False
185.8388,GnG-low,nogo,23800,3.1716584030618833,False,True,,0,False
187.4711,GnG-high,go,24009,2.8452750654821557,False,True,,0,False
189.2856,GnG-low,nogo,24241,-0.08592559316866755,False,True,,0,False
190.8067,GnG-low,nogo,24436,1.468884221225153,False,True,,0,False
192.3836,GnG-low,nogo,24638,1.8830974596539818,False,True,,0,False
194.2683,GnG-low,nogo,24879,-0.9717273390492664,False,True,,0,False
195.8744,GnG-low,nogo,25085,1.476430713097443,False,True,,0,False
197.5049,GnG-low,nogo,25294,2.9500473755490475,False,True,,0,False
199.0839,GnG-low,nogo,25496,1.264260613965007,False,True,,0,False
200.8558,GnG-low,nogo,25723,1.8906289381561692,False,True,,0,False
202.3394,GnG-high,go,25913,1.903007735393203,False,True,,0,False
204.1014,GnG-low,nogo,26138,-3.1875963472884905,False,True,,0,False
205.5925,GnG-high,go,26329,-2.8667313465859934,False,True,,0,False
207.383,GnG-low,nogo,26559,2.58509558787523,False,True,,0,False
208.8312,GnG-low,nogo,26744,-1.0449566320005488,False,True,,0,False
