thisN,thisTrialN,thisRepN,freq,tone,stim,correct,choice_resp.keys,choice_resp.corr,choice_resp.rt,choice_resp.duration,eyes.thisRepN,eyes.thisTrialN,eyes.thisN,eyes.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,choice.thisRepN,choice.thisTrialN,choice.thisN,choice.thisIndex,thisRow.t,notes,piloting,text_blank.started,audio_target_lsl,audio_actual_lsl,audio_schedule_error_ms,isi,soa,choice.choice_resp.keys,choice.choice_resp.corr,choice.choice_resp.rt,choice.choice_resp.duration,Break.started,Break.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
0,0,0,1500,High,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,2.1909088999964297,,,2.1909088999964297,111814.39120072499,111814.48253524167,91.33451667730696,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
1,1,0,1000,Low,,,,,,,,,,,0,1,1,1,,,,,,,,,3.175988899994991,,,3.175988899994991,111815.383688325,111815.48321922502,99.53090001363307,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
2,0,1,1500,High,,,,,,,,,,,1,0,2,0,,,,,,,,,4.176416100002825,,,4.176416100002825,111816.38057912499,111816.47143197499,90.85285000037402,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
3,1,1,1000,Low,,,,,,,,,,,1,1,3,1,,,,,,,,,5.177003899996635,,,5.177003899996635,111817.38120212499,111817.47232069168,91.11856667732354,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
4,0,2,1500,High,,,,,,,,,,,2,0,4,0,,,,,,,,,6.177759199999855,,,6.177759199999855,111818.38279982499,111818.47297157501,90.17175000917632,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
5,1,2,1000,Low,,,,,,,,,,,2,1,5,1,,,,,,,,,7.179255800001556,,,7.179255800001556,111819.383763325,111819.474407475,90.64414999738801,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
6,0,3,1500,High,,,,,,,,,,,3,0,6,0,,,,,,,,,8.179422200002591,,,8.179422200002591,111820.38425232499,111820.47495400833,90.70168333710171,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
7,1,3,1000,Low,,,,,,,,,,,3,1,7,1,,,,,,,,,9.179567900006077,,,9.179567900006077,111821.38414062501,111821.47627102499,92.13039997848682,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
8,0,4,1500,High,,,,,,,,,,,4,0,8,0,,,,,,,,,10.180377199998475,,,10.180377199998475,111822.38450362501,111822.47766725832,93.16363332618494,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
9,1,4,1000,Low,,,,,,,,,,,4,1,9,1,,,,,,,,,11.182084800006123,,,11.182084800006123,111823.38573002501,111823.47808917498,92.35914998862427,,,,,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
0,0,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,0,0,5,14.416563999999198,,,,111826.96839425465,111826.96838442498,-0.009829673217609525,1.6231552317403881,0.3547258296572062,None,1,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
1,1,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,1,1,6,16.053664000006393,,,,111828.6708644946,111828.67086559167,0.001097068889066577,1.7066134369597357,0.41615436960195007,None,1,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
2,2,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,2,2,3,17.77204019999772,,,,111830.27587179418,111830.275876575,0.004780828021466732,1.6590474739208965,0.30273276916573544,None,1,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
3,3,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,3,3,7,19.438283700001193,,,,111832.07586707405,111832.07585834168,-0.008732386049814522,1.7616027833440653,0.43513544904378065,None,1,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
4,4,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,4,4,8,21.20601219999662,,,,111833.65972868819,111833.65972139165,-0.007296534022316337,1.7478007962412405,0.2483212631994516,None,1,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
5,5,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,5,5,9,22.957788400002755,,,,111835.37706181902,111835.377071375,0.009555966244079173,1.7226342187758794,0.21626379402434068,None,1,,,,,pilot,001,2026-09-15_16h06.33.060,p3,,2026.2.3,60.1460345723662,2026-09-15 16h06.33.476735 +0800,
