time,value,condition,sample,sample_error_ms,pressed,correct,rt_from_marker_s,block,responding
280.0273,GnG-low,nogo,35862,0.7397388414460693,False,True,,0,True
281.7297,GnG-low,nogo,36080,0.5903847448962551,False,True,,0,True
283.3348,GnG-low,nogo,36285,-3.7693289808657937,False,True,,0,True
285.1347,GnG-low,nogo,36516,0.09167652257247028,False,True,,0,True
286.7186,GnG-low,nogo,36719,1.3149843945825523,False,True,,0,True
288.4359,GnG-low,nogo,36939,1.8826087002139502,False,True,,0,True
290.2103,GnG-low,nogo,37166,0.009657399175466708,False,True,,0,True
293.5639,GnG-low,nogo,37595,-3.7484752164118618,False,True,,0,True
295.4732,GnG-high,go,37840,0.03137911733119836,True,True,0.5511312264864459,0,True
297.1117,GnG-low,nogo,38050,1.3141113972210405,False,True,,0,True
299.0427,GnG-low,nogo,38297,-0.9890558667962068,False,True,,0,True
300.7271,GnG-low,nogo,38513,1.2446116198248092,False,True,,0,True
302.1627,GnG-low,nogo,38697,2.406624670470592,False,True,,0,True
304.0655,GnG-low,nogo,38940,-2.9304993980190375,False,True,,0,True
305.5943,GnG-high,go,39136,-1.266615933900539,True,True,0.42148704667634695,0,True
307.1516,GnG-low,nogo,39336,3.1312243347088042,False,True,,0,True
308.8466,GnG-low,nogo,39553,2.5733810369388266,False,True,,0,True
310.3857,GnG-high,go,39750,1.7457537022096403,True,True,0.6708232769414157,0,True
312.1686,GnG-low,nogo,39978,-0.818708397730461,False,True,,0,True
313.8457,GnG-low,nogo,40193,0.906469887752337,False,True,,0,True
315.5928,GnG-low,nogo,40417,2.908050997916689,False,True,,0,True
318.4883,GnG-low,nogo,40787,-3.4509444985815207,False,True,,0,True
320.3672,GnG-low,nogo,41028,-0.5050469839034122,False,True,,0,True
322.1371,GnG-low,nogo,41255,2.122001729674139,False,True,,0,True
323.6349,GnG-low,nogo,41447,3.5519283892426756,False,True,,0,True
325.4398,GnG-low,nogo,41678,2.4129339072942457,False,True,,0,True
327.0088,GnG-high,go,41879,2.919263377009429,True,True,0.47408645067952543,0,True
328.8183,GnG-low,nogo,42110,-2.8197311195299335,False,True,,0,True
330.2378,GnG-low,nogo,42292,-1.1746964711392138,False,True,,0,True
