thisN,thisTrialN,thisRepN,freq,tone,stim,correct,choice_resp.keys,choice_resp.corr,choice_resp.rt,choice_resp.duration,eyes.thisRepN,eyes.thisTrialN,eyes.thisN,eyes.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,choice.thisRepN,choice.thisTrialN,choice.thisN,choice.thisIndex,thisRow.t,notes,piloting,text_blank.started,audio_target_lsl,audio_actual_lsl,audio_schedule_error_ms,isi,soa,choice.choice_resp.keys,choice.choice_resp.corr,choice.choice_resp.rt,choice.choice_resp.duration,Break.started,Break.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
0,0,0,1500,High,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,217.0601781999867,,,217.0601781999867,192544.52794115,192544.5506317167,22.6905666931998,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
1,1,0,1000,Low,,,,,,,,,,,0,1,1,1,,,,,,,,,218.04514450000715,,,218.04514450000715,192545.51789955003,192545.5406714167,22.77186667197384,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
2,0,1,1500,High,,,,,,,,,,,1,0,2,0,,,,,,,,,219.04556850000517,,,219.04556850000517,192546.51717775,192546.54069455003,23.516800021752715,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
3,1,1,1000,Low,,,,,,,,,,,1,1,3,1,,,,,,,,,220.04630459999316,,,220.04630459999316,192547.51742625,192547.54072638336,23.30013335449621,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
4,0,2,1500,High,,,,,,,,,,,2,0,4,0,,,,,,,,,221.04802200000267,,,221.04802200000267,192548.51900855,192548.5407378167,21.729266678448766,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
5,1,2,1000,Low,,,,,,,,,,,2,1,5,1,,,,,,,,,222.0481129999971,,,222.0481129999971,192549.51864685002,192549.54079365003,22.1468000090681,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
6,0,3,1500,High,,,,,,,,,,,3,0,6,0,,,,,,,,,223.04909960000077,,,223.04909960000077,192550.51998135002,192550.54079398338,20.81263336003758,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
7,1,3,1000,Low,,,,,,,,,,,3,1,7,1,,,,,,,,,224.050064799987,,,224.050064799987,192551.52042975003,192551.54082151668,20.391766651300713,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
8,0,4,1500,High,,,,,,,,,,,4,0,8,0,,,,,,,,,225.05146749998676,,,225.05146749998676,192552.52213685002,192552.54085245,18.71559998835437,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
9,1,4,1000,Low,,,,,,,,,,,4,1,9,1,,,,,,,,,226.05177439999534,,,226.05177439999534,192553.52203535003,192553.54085988336,18.824533326551318,,,,,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
0,0,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,0,0,2,240.88049660000252,,,,192568.8008614001,192568.80085628337,-0.005116715328767896,1.7182785742494544,0.45784125006496434,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
1,1,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,1,1,9,242.59909879998304,,,,192570.29321307933,192570.2932198167,0.006737362127751112,1.7192671829993302,0.2249385293115259,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
2,2,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,2,2,4,244.33424289998948,,,,192572.20271318514,192572.20271758336,0.004398229066282511,1.7442673127014554,0.39978693514109054,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
3,3,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,3,3,8,246.08542180000222,,,,192573.90551363747,192573.90551608338,0.002445915015414357,1.5924249001392805,0.35071078743554623,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
4,4,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,4,4,3,247.68692010000814,,,,192575.4089071882,192575.40890228338,-0.004904810339212418,1.579307878496955,0.25326453816480643,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
5,5,0,1500,,high,space,space,1,0.6880241000035312,0.049655400012852624,,,,,,,,,0,0,0,0,0,5,5,1,249.2714013000077,,,,192577.0579221579,192577.05791488336,-0.007274531526491046,1.7696818822293892,0.3176563078853789,space,1,0.6880241000035312,0.049655400012852624,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
6,6,0,1500,,high,space,space,1,0.6622593999782111,0.11249270002008416,,,,,,,,,0,0,0,0,0,6,6,0,251.05643999998574,,,,192578.89061936666,192578.89061058336,-0.008783303201198578,1.7698525474734523,0.36523351663727444,space,1,0.6622593999782111,0.11249270002008416,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
7,7,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,7,7,5,252.84086589998333,,,,192580.7038002574,192580.70379835003,-0.0019073777366429567,1.5351144001205381,0.3930838074124857,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
8,8,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,8,8,7,254.37587899999926,,,,192582.1748406705,192582.1748480167,0.007346214260905981,1.7805889160389685,0.3297635204753927,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
9,9,0,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,0,9,9,6,256.1615698999958,,,,192583.97169843866,192583.97170385005,0.0054113916121423244,1.7257611485080475,0.3418087886440923,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
10,0,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,0,10,8,257.8955336000072,,,,192585.76397928124,192585.76398241668,0.003135442966595292,1.5624328535841356,0.3994912312258465,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
11,1,1,1500,,high,space,space,1,0.553335300006438,0.04963819999829866,,,,,,,,,0,0,0,0,1,1,11,0,259.46374740000465,,,,192587.14586342635,192587.1458581167,-0.005309644620865583,1.6640913020470285,0.21342667635293697,space,1,0.553335300006438,0.04963819999829866,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
12,2,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,2,12,3,261.131496099988,,,,192588.92871207278,192588.92872221672,0.010143936378881335,1.6241967521714418,0.3271135227666955,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
13,3,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,3,13,2,262.76611329999287,,,,192590.7155823191,192590.71558141668,-0.000902422470971942,1.6471077516324888,0.4806021690812007,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
14,4,1,1500,,high,space,space,1,0.7068905000051018,0.027825199998915195,,,,,,,,,0,0,0,0,1,4,14,1,264.41745660000015,,,,192592.17691739177,192592.17691781672,0.0004249450284987688,1.7146751389972645,0.28992954174923935,space,1,0.7068905000051018,0.027825199998915195,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
15,5,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,5,15,4,266.1355651000049,,,,192593.8887154747,192593.88871735006,0.0018753635231405497,1.5733108892114873,0.2834897246801379,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
16,6,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,6,16,6,267.7205460999976,,,,192595.45564843176,192595.45563818337,-0.010248390026390553,1.5939937934487967,0.26568538173361167,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
17,7,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,7,17,5,269.32190409998293,,,,192597.07869925513,192597.07870338336,0.004128232831135392,1.571735738203138,0.288191605086219,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
18,8,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,8,18,9,270.90603179999744,,,,192598.75472867637,192598.75472698337,-0.0016929989214986563,1.577664184186909,0.37936632636045264,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
19,9,1,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,1,9,19,7,272.4910583999881,,,,192600.22275318298,192600.22275275004,-0.0004329485818743706,1.605877191256783,0.26283183296121354,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
20,0,2,1500,,high,space,space,1,0.578571699996246,0.027769200009061024,,,,,,,,,0,0,0,0,2,0,20,1,274.10906339998473,,,,192601.8494945308,192601.8494858167,-0.008714094292372465,1.620266037713133,0.2714321807820417,space,1,0.578571699996246,0.027769200009061024,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
21,1,2,1000,,low,None,None,1,,,,,,,,,,,0,0,0,0,2,1,21,4,275.7441481999995,,,,192603.40587437732,192603.40588058336,0.0062060425989329815,1.508144539907072,0.1927643272998032,None,1,,,,,pilot,001,2026-09-16_14h28.25.135,p3,,2026.2.3,59.90703626112904,2026-09-16 14h28.25.526750 +0800,
