time,value,condition,sample,sample_error_ms,block,deviant,post_deviant
242.8594,Oddball-standard,standard,31083,3.582581142552499,0,False,False
244.1095,Oddball-standard,standard,31243,3.621795921787907,0,False,False
245.1914,Oddball-standard,standard,31381,-0.03313133112214928,0,False,False
246.4577,Oddball-standard,standard,31543,-0.5671763671557528,0,False,False
247.5913,Oddball-standard,standard,31688,-1.2285129734550537,0,False,False
249.0584,Oddball-standard,standard,31876,0.5850643921121446,0,False,False
250.4762,Oddball-oddball,deviant,32057,-2.9949488888689757,0,True,False
253.3251,Oddball-standard,standard,32422,-0.014865173739053716,0,False,False
254.4416,Oddball-standard,standard,32565,0.7970580351752687,0,False,False
255.4579,Oddball-standard,standard,32695,0.2351700433109727,0,False,False
256.6599,Oddball-standard,standard,32849,1.4941642683083955,0,False,False
257.8613,Oddball-standard,standard,33003,3.353158493268893,0,False,False
259.2093,Oddball-standard,standard,33175,-0.7471856189908976,0,False,False
260.4101,Oddball-oddball,deviant,33329,1.7118086059895177,0,True,False
263.0944,Oddball-standard,standard,33672,-2.6022497110034237,0,False,False
264.2414,Oddball-standard,standard,33819,-1.0368461325924727,0,False,False
265.5261,Oddball-standard,standard,33984,3.469219108467314,0,False,False
266.7925,Oddball-standard,standard,34146,2.835174072401969,0,False,False
267.9261,Oddball-standard,standard,34291,2.1738374661026683,0,False,False
269.1934,Oddball-standard,standard,34453,0.6397924300927116,0,False,False
270.3264,Oddball-standard,standard,34598,0.5784558238133286,0,False,False
271.7918,Oddball-standard,standard,34785,-3.721336903026895,0,False,False
272.877,Oddball-standard,standard,34924,-2.862894063582644,0,False,False
274.0756,Oddball-standard,standard,35078,1.7961001614708039,0,False,False
275.1585,Oddball-standard,standard,35216,-2.858827091472449,0,False,False
276.226,Oddball-oddball,deviant,35353,0.07287556326218692,0,True,False
278.5092,Oddball-standard,standard,35645,-1.6230574646556306,0,False,False
279.7114,Oddball-standard,standard,35799,-0.5640632396648471,0,False,False
280.9088,Oddball-standard,standard,35952,-2.518439107006998,0,False,False
282.3424,Oddball-standard,standard,36136,1.5416578891063182,0,False,False
283.4283,Oddball-oddball,deviant,36275,1.7001007286125969,0,True,False
285.9428,Oddball-standard,standard,36597,3.1052704717922097,0,False,False
287.0771,Oddball-standard,standard,36742,1.743933865498093,0,False,False
288.1267,Oddball-standard,standard,36876,-0.8644737569625249,0,False,False
289.5595,Oddball-standard,standard,37059,-3.8177468532012426,0,False,False
290.6428,Oddball-standard,standard,37198,-1.0593040137791832,0,False,False
291.8595,Oddball-standard,standard,37354,1.1264303959706012,0,False,False
293.2924,Oddball-oddball,deviant,37537,-1.9268427002430144,0,True,False
295.6098,Oddball-standard,standard,37834,1.2440747336768254,0,False,False
296.8089,Oddball-standard,standard,37987,-2.4103011336364943,0,False,False
298.2596,Oddball-standard,standard,38173,0.17653604720635485,0,False,False
299.5262,Oddball-standard,standard,38335,-0.6575089888656294,0,False,False
300.8763,Oddball-standard,standard,38508,0.9555169912118799,0,False,False
302.3261,Oddball-standard,standard,38693,-3.3710159203224066,0,False,False
303.6261,Oddball-standard,standard,38860,1.4617895055266672,0,False,False
305.0929,Oddball-standard,standard,39048,3.575366871132246,0,False,False
306.2257,Oddball-standard,standard,39193,3.7140302647458157,0,False,False
307.5104,Oddball-standard,standard,39357,0.40672541348385494,0,False,False
308.9446,Oddball-standard,standard,39541,3.8668224096340964,0,False,False
310.2786,Oddball-standard,standard,39711,-1.860261887429715,0,False,False
311.6593,Oddball-oddball,deviant,39888,0.4062444621126815,0,True,False
314.2603,Oddball-standard,standard,40221,1.2584852213421982,0,False,False
315.3444,Oddball-standard,standard,40360,3.216928060794544,0,False,False
316.8266,Oddball-standard,standard,40549,-2.2561244812209225,0,False,False
318.062,Oddball-standard,standard,40707,-3.143649886737876,0,False,False
319.3117,Oddball-standard,standard,40867,-2.7044351074891892,0,False,False
320.6935,Oddball-standard,standard,41044,-1.5379287579548873,0,False,False
321.9957,Oddball-standard,standard,41211,1.0948766678211541,0,False,False
323.4269,Oddball-oddball,deviant,41394,-0.2583964284212925,0,True,False
326.0618,Oddball-standard,standard,41731,-2.0526752996943287,0,False,False
327.4951,Oddball-standard,standard,41915,2.307421696457368,0,False,False
328.601,Oddball-standard,standard,42056,-1.9073952793746685,0,False,False
329.7456,Oddball-standard,standard,42203,2.0580082990022674,0,False,False
330.8267,Oddball-standard,standard,42341,-0.7969189538812316,0,False,False
332.2102,Oddball-standard,standard,42518,-1.3304126043180986,0,False,False
333.296,Oddball-standard,standard,42657,-1.0719697648937654,0,False,False
334.3437,Oddball-standard,standard,42791,-1.780377387262888,0,False,False
335.5267,Oddball-standard,standard,42943,2.85187665298281,0,False,False
336.6275,Oddball-standard,standard,43084,3.7370596771779674,0,False,False
338.111,Oddball-standard,standard,43273,-3.0359928648522327,0,False,False
339.4604,Oddball-oddball,deviant,43446,-0.7229668847799076,0,True,False
341.9792,Oddball-standard,standard,43768,-3.6177971416009314,0,False,False
343.4773,Oddball-standard,standard,43960,-1.550739406525281,0,False,False
344.7954,Oddball-standard,standard,44129,0.8088062040769728,0,False,False
345.8447,Oddball-oddball,deviant,44263,-1.4996014183452644,0,True,False
348.2275,Oddball-standard,standard,44568,-1.2217232454645455,0,False,False
349.3443,Oddball-standard,standard,44711,-0.7098000364749169,0,False,False
350.7439,Oddball-standard,standard,44890,-1.716553502262741,0,False,False
352.094,Oddball-standard,standard,45063,-0.10352752218523165,0,False,False
353.2441,Oddball-standard,standard,45210,-1.6381239437919248,0,False,False
354.5107,Oddball-standard,standard,45372,-2.4721689798070656,0,False,False
355.7274,Oddball-standard,standard,45528,-0.28643457005728123,0,False,False
357.011,Oddball-standard,standard,45692,-2.493739421367991,0,False,False
358.111,Oddball-standard,standard,45833,-0.8085563971462761,0,False,False
359.3781,Oddball-standard,standard,45995,-2.142601433206437,0,False,False
360.596,Oddball-standard,standard,46151,-1.156867023439645,0,False,False
362.0946,Oddball-oddball,deviant,46343,0.4101907115909853,0,True,False
364.8615,Oddball-standard,standard,46697,-0.5567965893078508,0,False,False
366.278,Oddball-standard,standard,46878,-2.8368098703595024,0,False,False
367.7448,Oddball-standard,standard,47066,-0.72323250469708,0,False,False
368.9449,Oddball-standard,standard,47220,2.435761720278151,0,False,False
370.124,Oddball-standard,standard,47371,3.1546456681894597,0,False,False
371.361,Oddball-standard,standard,47529,0.6671202626762351,0,False,False
372.6447,Oddball-standard,standard,47693,-1.6401845886093724,0,False,False
373.7283,Oddball-oddball,deviant,47832,0.8182582508311498,0,True,False
376.3779,Oddball-standard,standard,48171,-0.04928043568952489,0,False,False
377.8798,Oddball-standard,standard,48363,-1.7822227005694913,0,False,False
378.9118,Oddball-standard,standard,48495,-2.417370507771466,0,False,False
