session,device,test,channels,n_test,n_ref,p,sign,t_start,t_end,n_channels,picks,epochs_available,all_channels_usable
gng_epocx,epocx,all / device,13,70,303,0.002,positive,0.2109375,0.328125,12,AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F8 AF4,"[72, 315]",373
gng_epocx,epocx,all / complete,13,70,303,0.002,positive,0.2109375,0.328125,12,AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F8 AF4,"[72, 315]",373
gng_epocx,epocx,core / complete,13,70,303,0.002,positive,0.2109375,0.328125,12,AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F8 AF4,"[72, 315]",373
gng_epocx,epocx,ROI F3+F4,1,72,315,0.0015,positive,0.234375,0.3125,0,F3,"[72, 315]",373
gng_epocx,epocx,"ROI F3+F4 [P3 window, +tail]",1,72,315,0.001,positive,0.234375,0.3125,0,F3,"[72, 315]",373
gng_epocx,epocx,ROI EPOC X frontal ROI,3,71,310,0.002,positive,0.2265625,0.3125,0,F3 FC5 FC6,"[72, 315]",373
gng_epocx,epocx,"ROI EPOC X frontal ROI [P3 window, +tail]",3,71,310,0.001,positive,0.2265625,0.3125,0,F3 FC5 FC6,"[72, 315]",373
gng_epocx_2,epocx,all / device,14,68,265,0.044,positive,0.21875,0.2421875,10,AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,"[74, 293]",333
gng_epocx_2,epocx,all / complete,14,68,265,0.044,positive,0.21875,0.2421875,10,AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,"[74, 293]",333
gng_epocx_2,epocx,core / complete,14,68,265,0.044,positive,0.21875,0.2421875,10,AF3 F7 F3 FC5 T7 P7 O1 O2 P8 T8 FC6 F4 F8 AF4,"[74, 293]",333
gng_epocx_2,epocx,ROI F3+F4,2,72,286,0.055,negative,0.59375,0.609375,0,F3 F4,"[74, 293]",333
gng_epocx_2,epocx,"ROI F3+F4 [P3 window, +tail]",2,72,286,0.0435,positive,0.2265625,0.234375,0,F3 F4,"[74, 293]",333
gng_epocx_2,epocx,ROI EPOC X frontal ROI,4,73,291,0.0295,negative,0.5859375,0.609375,0,F3 F4 FC5 FC6,"[74, 293]",333
gng_epocx_2,epocx,"ROI EPOC X frontal ROI [P3 window, +tail]",4,73,291,0.0425,positive,0.2265625,0.234375,0,F3 F4 FC5 FC6,"[74, 293]",333
gng_flex,flex,all / device,32,76,313,0.054,positive,0.25,0.3046875,10,C3 T7 FC1 FC5 FT9 F3 F7 Fp1 Pz Cz O1 PO9 P3 P7 CP1 CP5 C4 T8 FC2 FC6 FT10 F4 F8 Fp2 Oz Fz O2 PO10 P4 P8 CP2 CP6,"[76, 313]",332
