session,device,channel,region,quarter,start_min,p2p_median_uv,pct_windows_over_common,pops_per_min
gng_epocx,epocx,AF3,prefrontal,1,4.632646501674754,8.866450980474548,0.0,0.0
gng_epocx,epocx,F7,frontal,1,4.632646501674754,14.395608845603842,0.0,0.0
gng_epocx,epocx,F3,frontal,1,4.632646501674754,15.210846531183801,0.0,0.0
gng_epocx,epocx,FC5,fronto-central,1,4.632646501674754,12.934317911382516,0.0,0.0
gng_epocx,epocx,T7,central,1,4.632646501674754,19.5095864774569,0.0,0.0
gng_epocx,epocx,P7,parietal,1,4.632646501674754,23.82505309911317,0.0,0.0
gng_epocx,epocx,O1,occipital,1,4.632646501674754,26.889204858351206,0.0,0.0
gng_epocx,epocx,O2,occipital,1,4.632646501674754,20.033087333757724,0.0,0.0
gng_epocx,epocx,P8,parietal,1,4.632646501674754,18.79953768159693,0.0,0.0
gng_epocx,epocx,T8,central,1,4.632646501674754,20.87879592746942,0.0,0.0
gng_epocx,epocx,FC6,fronto-central,1,4.632646501674754,16.65671581978016,0.0,0.0
gng_epocx,epocx,F4,frontal,1,4.632646501674754,18.57344729867537,2.608695652173913,1.390790705797814
gng_epocx,epocx,F8,frontal,1,4.632646501674754,13.940462404588077,0.0,0.0
gng_epocx,epocx,AF4,prefrontal,1,4.632646501674754,20.78153489994726,0.0,0.0
gng_epocx,epocx,AF3,prefrontal,2,7.508708286762279,9.619909672946022,0.0,0.0
gng_epocx,epocx,F7,frontal,2,7.508708286762279,15.502970594607536,0.0,0.0
gng_epocx,epocx,F3,frontal,2,7.508708286762279,16.17197102560441,0.0,0.0
gng_epocx,epocx,FC5,fronto-central,2,7.508708286762279,13.822278379556874,0.0,0.0
gng_epocx,epocx,T7,central,2,7.508708286762279,20.21439335641308,0.0,0.0
gng_epocx,epocx,P7,parietal,2,7.508708286762279,24.822728786109558,0.0,0.0
gng_epocx,epocx,O1,occipital,2,7.508708286762279,29.10961325952458,0.0,0.0
gng_epocx,epocx,O2,occipital,2,7.508708286762279,22.497284622911234,0.0,0.0
gng_epocx,epocx,P8,parietal,2,7.508708286762279,20.283248418100456,0.0,0.0
