timestamp_unix,product_string,usage_page,usage,interface_number,serial_number,report_length,report_hex
1788334810.088563204,EEG Signals,65535,2,1,UD2022081200650D,32,d93b393de182b05cef2d6af8d95fcaa2000d30b3947bb50f541fd4ae71adb56c
1788334810.090506077,EEG Signals,65535,2,1,UD2022081200650D,32,8be7361f61fc3f646d667558068b466a000d30b3947bb50f541fd4ae71adb56c
1788334810.094498396,EEG Signals,65535,2,1,UD2022081200650D,32,c08967590e06be9ac0ea3aaeba798cd7bbe0a011d3dbeba0881ec0f270881ae3
1788334810.098492384,EEG Signals,65535,2,1,UD2022081200650D,32,be841a1949b39a696871472b5bd81e099e6d0996805826010ca9ebc780b92345
1788334810.102508307,EEG Signals,65535,2,1,UD2022081200650D,32,db39489cf4eb7a2af70770995100e6fd603afd5aa7d7f4e66c84039f6bd8a21a
1788334810.106549740,EEG Signals,65535,2,1,UD2022081200650D,32,92993e3a4d25adf1bdb48b4b9ed550f9770a12b43b13a301c6ea9a633cc0b84e
1788334810.110507727,EEG Signals,65535,2,1,UD2022081200650D,32,1a615f990061c4447fc0bbd88c497eb484395dc6043bec8bf3e4cd9e6b88c93a
1788334810.114498615,EEG Signals,65535,2,1,UD2022081200650D,32,2e7b24b4188e38e4a5452215d6273d627809cee8baf98f7d97cf052b19b5098c
1788334810.118627787,EEG Signals,65535,2,1,UD2022081200650D,32,1fe2b3ad739c530502a865f4b936be83a810376ec5fd7c4ce7634d1a00a3be78
1788334810.122563839,EEG Signals,65535,2,1,UD2022081200650D,32,64226220917feba15736e787dae8afb5510d4e03c3039b1e88e852157884eb6b
1788334810.125516891,EEG Signals,65535,2,1,UD2022081200650D,32,4aa9ff431b9bc7ee97aac799c58e001db63a0247790c4fce3e8b650866d9ac51
1788334810.129512548,EEG Signals,65535,2,1,UD2022081200650D,32,02b91c4051c3ac8602206f3f2aa5741e5a60e019230adda0f457a649aadf51db
1788334810.133505821,EEG Signals,65535,2,1,UD2022081200650D,32,2cf37fb33c460af75f7e044db8f780dda74a5e0139019b9886324090e7d960b8
1788334810.137525082,EEG Signals,65535,2,1,UD2022081200650D,32,cc66745e8c27497c40596491c960cbbcd3e3776b44bb19b7add233b164cf0f28
1788334810.141526461,EEG Signals,65535,2,1,UD2022081200650D,32,e0a87796894d20dc84306b56fb83ac2bfacf5f9947390b6dc7346b417c47ee76
1788334810.145506144,EEG Signals,65535,2,1,UD2022081200650D,32,193af619d5f7cb67339aee74376e9962f0d8f5f5f21f387cb816df02d0367513
1788334810.149520397,EEG Signals,65535,2,1,UD2022081200650D,32,2af3684e1765cca51192b84a6dea5b3524d065d2d04d6711576d0ce8513a3bcd
1788334810.153558493,EEG Signals,65535,2,1,UD2022081200650D,32,d96a993e4f1a3210e1ad8f14485eae8ca4ed51443ba672c44db157e1e3fad3b2
1788334810.157552481,EEG Signals,65535,2,1,UD2022081200650D,32,79ab095dfecdc1bc2ab01d0bb17c327aa0cb6540abeebd84a42635f9fe52a39e
